id,source,reference,adapter_prediction,adapter_hybrid_prediction,corpus,adapter_comet,adapter_hybrid_comet,comet_difference
10,"Resulta necesario, en dicho contexto, prever condiciones que garanticen la utilización del azúcar para los fines previstos.","In this connection, it is necessary to ensure that the sugar is actually put to the intended use.","In this context, it is necessary to provide conditions that ensure the use of sugar for the intended purposes.","It is necessary, in this context, to provide for conditions which ensure the use of sugar for the intended purposes.",jrc_acquis,0.8263213038444519,0.8027607202529907,-0.02356058359146118
11,Pasteles,Cakes,Cakes,CAKES,dgt,0.9837912917137146,0.7240485548973083,-0.25974273681640625
12,Aprueba el cierre de las cuentas relativas a la ejecución del presupuesto general de la Unión Europea para el ejercicio 2003;,Approves the closure of the accounts in respect of the implementation of the general budget for the financial year 2003;,Approves the closure of the accounts relating to the implementation of the general budget of the European Union for the financial year 2003;,Approves the closure of the accounts relating to the implementation of the general budget of the European Union for the financial year 2003;,jrc_acquis,0.8738173246383667,0.8738173246383667,0.0
13,"Si no es posible obtener el tiempo t en una sola operación de frenado, podrá repetirse la operación sin que el número de repeticiones exceda de cuatro.","If the time t cannot be completed in a single braking phase, further phases may be used, up to a maximum of four in all.","If the time t cannot be obtained in a single braking operation, the operation may be repeated up to four times.","If the time t cannot be obtained in a single braking operation, the operation may be repeated up to four times.",dgt,0.8188499808311462,0.8188499808311462,0.0
14,"No obstante, debe mencionarse que, por lo que se refiere a los precios, los datos no son comparables debido a diferencias en la mezcla del producto, que dan lugar a variaciones considerables de precio.","It should be noted, however, that, as regards prices, the data are not comparable given the differences in the product mix, resulting in huge price differentials.","However, it should be noted that, as far as prices are concerned, the data are not comparable due to differences in the product mix, which result in considerable price variations.","However, it should be noted that, as regards prices, the data are not comparable due to differences in the product mix, which result in considerable price variations.",dgt,0.8993035554885864,0.9025940299034119,0.0032904744148254395
15,Las bases de la exención son el Decreto no 121/2010/ND-CP y el Decreto no 142/2005/ND-CP.,The bases for the exemption are Decree No 121/2010/ND-CP and Decree No 142/2005/ND-CP.,The bases of the exemption are Decree No. 121/2010/ND-CP and Decree No. 142/2005/ND-CP.,The basis for the exemption is Decree No 121/2010/ND-CP and Decree No 142/2005/ND-CP.,dgt,0.9410592317581177,0.9429370164871216,0.0018777847290039062
16,"por el que se revisa, para la campaña de comercialización de 2003/04, el importe máximo de la cotización B en el sector del azúcar, y se modifica el precio mínimo de la remolacha B",revising the maximum amount for the B production levy and amending the minimum price for B beet in the sugar sector for the 2003/04 marketing year,"amending, for the 2003/04 marketing year, the maximum quota price for sugar B in the sugar sector and the minimum price for beet B","amending, for the 2003/04 marketing year, the maximum price for quota B in the sugar sector and amending the minimum price for beet B",jrc_acquis,0.8422734141349792,0.8458318114280701,0.0035583972930908203
17,por la que se modifica la Decisión 80/686/CEE relativa a la creación de un Comité consultivo en materia de control y de reducción de la contaminación causada por el vertido de hidrocarburos en el mar,amending Decision 80/686/EEC setting up an Advisory Committee on the Control and Reduction of Pollution Caused by Hydrocarbons Discharged at Sea,amending Decision 80/686/EEC on the establishment of an advisory committee on control and reduction of pollution caused by the discharge of oil into the sea,amending Decision 80/686/EEC on the establishment of an advisory committee on control and reduction of pollution caused by the discharge of hydrocarbons at sea,jrc_acquis,0.8618772029876709,0.8882490992546082,0.026371896266937256
18,"Estufas, calderas con hogar para la colada, braseros y aparatos simil. de uso doméstico, de fundición, hierro o acero, de combustibles líquidos, con evacuación de gases quemados (exc. aparatos de cocción, incl. con horno, hornos separados, calientaplatos, calderas de calefacción central, calentadores de agua de calentamiento instantáneo o de acumulación y aparatos para cocinas industriales)","Stoves, heaters, grates, fires, wash boilers, braziers and similar appliances, of iron or steel, for liquid fuel, with exhaust outlet (excl. cooking appliances, whether or not with oven, separate ovens, plate warmers, central heating boilers, geysers, hot water cylinders and large cooking appliances)","Boilers with fireplaces for casting, braziers and similar domestic, foundry, iron or steel, liquid fuel fired, gas exhaust (excl. cooking apparatus, incl. with oven, separate ovens, hotplates, central heating boilers, instantaneous or storage water heaters and industrial cooking apparatus) (excl. apparatus for cooking, incl. with oven, separate ovens, hotplates, central heating boilers, instantaneous or storage water heaters and industrial cooking apparatus) ","Boilers, water heaters, braziers and similar domestic, foundry, iron or steel, liquid fuel, gas-fired (excl. cooking ranges, incl. with oven, separate ovens, hotplates, central heating boilers, instantaneous water heaters, storage water heaters and industrial cooking ranges)",dgt,0.6684064269065857,0.7264655828475952,0.05805915594100952
19,"DK: Pueden concederse autorizaciones limitadas, sometidas al requisito de residencia, para el desempeño de funciones específicas por un máximo de dieciocho meses.",DK: Limited authorisation to fulfil a specific function can be given for maximum eighteen months and requires residence.,DK: Limited authorisations subject to residence requirement may be granted for the performance of specific tasks for a maximum of eighteen months.,DK: Limited authorisations subject to the residence requirement may be granted for the performance of specific tasks for a maximum of eighteen months.,dgt,0.8931573033332825,0.8888288140296936,-0.004328489303588867
20,"los métodos que reflejen una diversidad particularmente elevada o reducida, y también cuando aparezca una subestimación significativa y sistemática de los requisitos de fondos propios.","approaches where there is particularly high or low diversity, and also where there is a significant and systematic under-estimation of own funds requirements.","methods that reflect a particularly high or low level of diversity, and also where there is a significant and systematic underestimation of the own funds requirements.","the methods that reflect a particularly high or low level of diversity, and also where there is a significant and systematic underestimation of the own funds requirements.",dgt,0.8967188000679016,0.8914019465446472,-0.0053168535232543945
21,todas esas aves y aves centinela se matarán y destruirán;,all those birds and sentinel birds are killed and destroyed;,all those birds and sentinels shall be killed and destroyed;,all those birds and sentinel birds shall be killed and destroyed;,dgt,0.8771199584007263,0.9168387055397034,0.03971874713897705
22,Mueva ~a al as de corazones.,Move ~a onto the ace of hearts.,Move ~a onto the ace of hearts.,Move ~a onto the ace of hearts.,gnome,0.9273856282234192,0.9273856282234192,0.0
23,d) impresión de los trabajos urgentes o de escasa tirada;,(d) printing urgent documents or small print runs;,(d) printing of urgent or low-run work;,(d) printing of urgent or low-run work;,jrc_acquis,0.8814356923103333,0.8814356923103333,0.0
24,"El color de las luces de cola se ajustará a la especificación a la que se refiere el apéndice J-1, índice 40, cláusula 5.5.3, cuadro 7 (valores).","The colour of tail lamps shall be in accordance with the specification referenced in Appendix J-1, index 40, clause 5.5.3, Table 7.","The colour of the tail lights shall be in accordance with the specification referred to in Appendix J-1, index 40, clause 5.5.3, Table 7 (values).","The colour of the tail lights shall comply with the specification referred to in Appendix J-1, index 40, clause 5.5.3, table 7 (values).",dgt,0.8854135274887085,0.8867848515510559,0.0013713240623474121
25,"Cada oferta técnica y financiera deberá introducirse, dentro de un paquete o de un sobre exterior, en un único sobre sellado con los siguientes datos:","Each technical and financial bid must be placed in a single sealed envelope, itself placed in a package or outer envelope. The inner envelope shall bear:","Each technical and financial offer shall be introduced, in a single sealed envelope, with the following details:","Each technical and financial offer shall be introduced, in a single sealed envelope, bearing the following details:",dgt,0.7497503161430359,0.7597329616546631,0.009982645511627197
26,"Reglamento modificado en último lugar por el Reglamento (CE) no 394/2007 de la Comisión (DO L 98 de 13.4.2007, p. 3).","Regulation last amended by Commission Regulation (EC) No 394/2007 (OJ L 98, 13.4.2007, p. 3).","Regulation as last amended by Commission Regulation (EC) No 394/2007 (OJ L 98, 13.4.2007, p. 3).","Regulation as last amended by Commission Regulation (EC) No 394/2007 (OJ L 98, 13.4.2007, p. 3).",dgt,0.944274365901947,0.944274365901947,0.0
27,La institución expedidora cumplimentará la parte A y enviará dos ejemplares a la institución destinataria.,The sending institution should complete part A and send two copies of the form to the institution to which it is addressed.,The issuing institution shall complete Part A and send two copies to the receiving institution.l complete Part H and send one copy to the issuing institution.,The issuing institution shall complete Part A and send two copies to the recipient institution.,dgt,0.6908476948738098,0.7939500212669373,0.10310232639312744
28,"una tarjeta de circuito impreso con EEPROM, microcontrolador, receptor LVDS y otros componentes activos y pasivos,","a printed circuit board with EEPROM, microcontroller, LVDS receiver and other active and passive components,","an EEPROM card with printed circuit board, microcontroller, LVDS receiver and other active and passive components, and","an EPROM, microcontroller, LVDS receiver and other active and passive components on a printed circuit board,",dgt,0.9082216024398804,0.8778490424156189,-0.030372560024261475
29,"Los procedimientos para la evaluación de la conformidad, la idoneidad para el uso y la verificación CE establecidos en el capítulo 6 de la ETI que figura en el anexo se basarán en los módulos definidos en la Decisión 2010/713/UE.","The procedures for assessment of conformity, suitability for use and EC verification set out in Chapter 6 of the TSI in Annex shall be based on the modules defined in Decision 2010/713/EU.","The procedures for conformity assessment, suitability for use and CE marking set out in Chapter 6 of the ETI as set out in the Annex shall be based on the modules defined in Decision 2010/713/EU.","The procedures for conformity assessment, suitability for use and CE verification set out in Chapter 6 of the ETI as set out in the Annex shall be based on the modules defined in Decision 2010/713/EU.",dgt,0.8953716158866882,0.9060933589935303,0.010721743106842041
30,"El tipo de interés que se utiliza es un tipo de interés simple, aplicado a los días reales de la operación y considerando un año de 360 días (actual/360).",The interest rate applied is a simple interest rate based on the day-count convention “actual/360”.,"The interest rate used is a simple interest rate, applied to the actual days of the transaction and considering a year of 360 days (actual/360).","The interest rate used is a simple interest rate, applied to the actual number of days of the operation and considering a year of 360 days (actual/360).",dgt,0.8373556137084961,0.7982548475265503,-0.0391007661819458
31,"En este caso, el negocio de servicio deberá separarse antes del 31 de diciembre de 2014 para pasar a una filial del SPM-Bank, que recibirá una licencia bancaria limitada solo en cuanto sea necesario para dicho servicio y que deberá haberse vendido completamente antes de diciembre de 2016.","Where this is the case, the servicing business must be hived off by 31 December 2014 to a subsidiary of the SPM bank, which will receive a substantive banking licence only to the extent necessary for servicing and which must be completely sold by 31 December 2016.","In this case, the service business must be separated by 31 December 2014 to be transferred to a subsidiary of SPM-Bank, which will receive a limited banking licence only to the extent necessary for this service and must be fully sold by December 2016.","In this case, the service business must be spun off by 31 December 2014 to a subsidiary of SPM-Bank, which will receive a limited banking licence only to the extent necessary for that service and must be fully sold by December 2016.",dgt,0.8325496315956116,0.8499192595481873,0.017369627952575684
32,Denominación de la subpartida,Wording of the sub-item,Subheading description,Subheading,dgt,0.6931458115577698,0.6607754230499268,-0.03237038850784302
33,"También se ha creado un método de conveniencia que devuelve una lista de las acciones soportadas por el elemento accesible actualmente seleccionado; si no soporta la acción de la interfaz, entonces devuelve una lista vacía:","We also created a convenience method that returns a list of supported actions of the currently selected accessible item - if it does not support the Action interface, it returns an empty list:","A convenience method has also been created that returns a list of the actions supported by the currently selected accessible element; if it does not support the interface action, then returns an empty list:","Also, a convenience method has been created that returns a list of the actions supported by the currently selected accessible element; if the interface action is not supported, then it returns an empty list:",gnome,0.8842664957046509,0.8834540843963623,-0.0008124113082885742
34,"(2) En la década de los sesenta, debido a las crecientes amenazas de introducción de cepas exóticas de fiebre aftosa en Europa, se solicitó a los países miembros de la EUFMD que crearan un fondo fiduciario para sufragar las medidas de emergencia que debían llevarse a cabo en los Balcanes, principal vía de entrada de la enfermedad.","(2) In the 1960s, due to increased threats from introduction of exotic strains of FMD into Europe, the member countries of the EUFMD were called ot establish a trust fund aimed at emergency measures to be carried out in the Balkans, the main entrance route of the disease.","(2) In the 1960s, because of the increasing threat of exotic strains of foot-and-mouth disease being introduced into Europe, the Member States of the EUFMD were asked to set up a trust fund to cover the emergency measures which had to be taken in the Balkans, the main entry route for the disease.","(2) In the 1960s, in view of the growing threat of the introduction of exotic strains of foot-and-mouth disease in Europe, the Member States of the EUFMD were asked to set up a trust fund to cover the emergency measures to be taken in the Balkans, the main entry route for the disease.",jrc_acquis,0.8403987884521484,0.8413726687431335,0.0009738802909851074
35,"Israel se compromete a no presentar ninguna reclamación, solicitud o reenvío ni modificar o derogar ninguna concesión en virtud de los artículos XXIV.6 y XXVIII del GATT de 1994 en relación con esta ampliación de la Unión.","Israel undertakes that it shall neither make any claim, request or referral nor modify or withdraw any concession pursuant to GATT 1994 Articles XXIV.6 and XXVIII in relation to this enlargement of the Union.","Israel undertakes not to present any claim, request or referral, nor to modify or withdraw any concession under Articles XXIV.6 and XXVIII of the GATT 1994 in respect of this enlargement of the Union.","Israel undertakes not to present any claim, request or referral, nor to modify or withdraw any concession under Articles XXIV.6 and XXVIII of the GATT 1994 in respect of this enlargement of the Union.",dgt,0.8828940391540527,0.8828940391540527,0.0
36,"- en el caso de los productos lácteos elaborados con leche cruda y cuyo procedimiento de elaboración no incluye ningún tratamiento término, la mención «a base de leche cruda»,","- for products manufactured from raw milk and for which the method of manufacture did not include any heat treatment, the words 'from raw milk',","- in the case of dairy products made from raw milk and whose manufacturing process does not include any heat treatment, the mention ‘made from raw milk’,","- in the case of dairy products made from raw milk and whose processing does not include any heat treatment, the mention ""made from raw milk"",",jrc_acquis,0.8512651324272156,0.8396657109260559,-0.011599421501159668
37,"FTDO (5,6-(3′,4′-furazano)- 1,2,3,4-tetrazina-1,3-dióxido);","FTDO (5,6-(3′,4′-furazano)- 1,2,3,4-tetrazine-1,3-dioxide);","FTDO (5,6-(3′,4′-furazano)- 1,2,3,4-tetrazine-1,3-dioxide);","FTDO (5,6-(3′,4′-furazano)- 1,2,3,4-tetrazina-1,3-dióxido);",dgt,0.9739111065864563,0.9374778270721436,-0.036433279514312744
38,La Comisión expresó también dudas sobre si es aceptable que no se apliquen medidas compensatorias adicionales a las ya adoptadas en el marco del plan de reestructuración.,The Commission doubted whether the absence of compensatory measures additional to those already taken as part of the restructuring plan was acceptable.,The Commission also expressed doubts as to whether it is acceptable that no additional compensatory measures are applied in addition to those already adopted in the framework of the restructuring plan.,The Commission also expressed doubts as to whether it is acceptable that no additional compensatory measures are applied in addition to those already adopted in the framework of the restructuring plan.,dgt,0.8923353552818298,0.8923353552818298,0.0
39,"Las partes se someterán al dictamen del perito, respetando la legislación veterinaria comunitaria.","The parties shall abide by the expert's opinion, with due regard for Community veterinary legislation.","The parties shall abide by the expert’s opinion, in accordance with the Community veterinary legislation.","The parties shall be bound by the expert's opinion, in accordance with the Community veterinary legislation.",jrc_acquis,0.9104254245758057,0.8825193643569946,-0.027906060218811035
40,"Puede querer evitar el diálogo Preferencias usando arrastrar y soltar para mover las solapas de los complementos. Arrastrar una solapa de un complemento a la parte inferior o derecha del área de los complementos en la ventana principal, moverá el complemento. Arrastrar una solapa al escritorio creará una nueva ventana de complemento y soltará el complemento en ella.",You may bypass the Preferences dialog by using drag and drop to move plugin tabs. Dragging a plugin tab to the bottom or right plugin area in the main window will move the plugin. Dragging a tab to the desktop will create a new plugin window and drop the plugin in it.,You may want to avoid the Preferences dialog by dragging and dropping to move the tabs of the plugins. Dragging a plugin tab to the bottom or right of the plugin area in the main window will move the plugin. Dragging a tab to the desktop will create a new plugin window and dropping the plugin will place it in it. ,You may want to avoid the Preferences dialog by dragging and dropping the plugin tabs. Dragging a plugin tab to the bottom or right of the plugin area in the main window will move the plugin. Dragging a tab to the desktop will create a new plugin window and dropping the plugin there will place it in that window.,gnome,0.8611298203468323,0.870038628578186,0.00890880823135376
41,1 — Sin información de subgrupo,1 — No sub–group information,1 — No subgroup information available,1 — No subgroup information,dgt,0.9723265767097473,0.9815329909324646,0.009206414222717285
42,No se pudo cargar «%s»: %s,Could not load `%s': %s,Failed to load ‘%s’: %s,Failed to load «%s»: %s,gnome,0.905792772769928,0.9010997414588928,-0.004693031311035156
43,Osmosis,Osmosis,Osmosis,Osmosis,gnome,0.9895245432853699,0.9895245432853699,0.0
44,Quitar los sietes,Remove the sevens,Remove the seven,Remove the sevens,gnome,0.8298340439796448,0.974984347820282,0.1451503038406372
45,90 % de las cantidades de las cuotas readquiridas definitivamente,90 % of the quantities irrevocably bought back under the quotas,90 % of the amounts of the quotas reacquired definitively,90 % of the quantities of the quotas reacquired definitively,dgt,0.7902421355247498,0.7821444272994995,-0.008097708225250244
46,Se aplicarán las disposiciones siguientes cuando se permita la comercialización de un medicamento sólo una vez que las autoridades competentes del Estado miembro respectivo hayan aprobado el precio del producto:,The following provisions shall apply if the marketing of a medicinal product is permitted only after the competent authorities of the Member State concerned have approved the price of the product:,The following provisions shall apply where the marketing of a medicinal product is permitted only after the competent authorities of the Member State concerned have approved the price of the product:,The following provisions shall apply where the marketing of a medicinal product is permitted only after the competent authorities of the Member State concerned have approved the price of the product:,jrc_acquis,0.9320209622383118,0.9320209622383118,0.0
47,Mueva ~a a la jota de diamantes.,Move ~a onto the jack of diamonds.,Move ~a onto the jack of diamonds.,Move ~a onto the jack of diamonds.,gnome,0.9252220392227173,0.9252220392227173,0.0
48,Quitar la la carta desconocida.,Remove the unknown card.,Remove the unknown card.,Remove the unknown card.,gnome,0.9628700017929077,0.9628700017929077,0.0
49,No se puede iniciar el juego «%s»,Cannot start the game “%s”,Cannot start game ‘%s’.,Cannot start game «%s»,gnome,0.9383876919746399,0.9381898641586304,-0.00019782781600952148
