id,source,reference,base_prediction,adapter_prediction,corpus,base_comet,adapter_comet,comet_difference
16,"por el que se revisa, para la campaña de comercialización de 2003/04, el importe máximo de la cotización B en el sector del azúcar, y se modifica el precio mínimo de la remolacha B",revising the maximum amount for the B production levy and amending the minimum price for B beet in the sugar sector for the 2003/04 marketing year,"for which the maximum amount of the B quota in the sugar sector is revised for the 2003/04 marketing campaign, and the minimum price of the B beet is modified.","amending, for the 2003/04 marketing year, the maximum quota price for sugar B in the sugar sector and the minimum price for beet B",jrc_acquis,0.7693619132041931,0.8422734141349792,0.07291150093078613
17,por la que se modifica la Decisión 80/686/CEE relativa a la creación de un Comité consultivo en materia de control y de reducción de la contaminación causada por el vertido de hidrocarburos en el mar,amending Decision 80/686/EEC setting up an Advisory Committee on the Control and Reduction of Pollution Caused by Hydrocarbons Discharged at Sea,by which Decision 80/686/CEE relating to the creation of a Consultative Committee on control and reduction of pollution caused by the discharge of hydrocarbons at sea is modified.,amending Decision 80/686/EEC on the establishment of an advisory committee on control and reduction of pollution caused by the discharge of oil into the sea,jrc_acquis,0.8692110180854797,0.8618772029876709,-0.007333815097808838
18,"Estufas, calderas con hogar para la colada, braseros y aparatos simil. de uso doméstico, de fundición, hierro o acero, de combustibles líquidos, con evacuación de gases quemados (exc. aparatos de cocción, incl. con horno, hornos separados, calientaplatos, calderas de calefacción central, calentadores de agua de calentamiento instantáneo o de acumulación y aparatos para cocinas industriales)","Stoves, heaters, grates, fires, wash boilers, braziers and similar appliances, of iron or steel, for liquid fuel, with exhaust outlet (excl. cooking appliances, whether or not with oven, separate ovens, plate warmers, central heating boilers, geysers, hot water cylinders and large cooking appliances)","Stoves, boilers with firebox for laundry, braziers and similar apparatus of domestic, foundry, iron or steel use, of liquid fuels, with flue or chimney for the escape of burnt gases (except cooking apparatus, including with oven, separate ovens, hotplates, central heating boilers, instantaneous or storage water heaters and apparatus for industrial kitchens)","Boilers with fireplaces for casting, braziers and similar domestic, foundry, iron or steel, liquid fuel fired, gas exhaust (excl. cooking apparatus, incl. with oven, separate ovens, hotplates, central heating boilers, instantaneous or storage water heaters and industrial cooking apparatus) (excl. apparatus for cooking, incl. with oven, separate ovens, hotplates, central heating boilers, instantaneous or storage water heaters and industrial cooking apparatus) ",dgt,0.7385722994804382,0.6684064269065857,-0.07016587257385254
19,"DK: Pueden concederse autorizaciones limitadas, sometidas al requisito de residencia, para el desempeño de funciones específicas por un máximo de dieciocho meses.",DK: Limited authorisation to fulfil a specific function can be given for maximum eighteen months and requires residence.,"DK: Limited authorisations, subject to residence requirements, may be granted for the performance of specific tasks for a maximum of eighteen months.",DK: Limited authorisations subject to residence requirement may be granted for the performance of specific tasks for a maximum of eighteen months.,dgt,0.8863597512245178,0.8931573033332825,0.0067975521087646484
20,"los métodos que reflejen una diversidad particularmente elevada o reducida, y también cuando aparezca una subestimación significativa y sistemática de los requisitos de fondos propios.","approaches where there is particularly high or low diversity, and also where there is a significant and systematic under-estimation of own funds requirements.","the methods that reflect a particularly high or low level of diversity, and also when a significant and systematic underestimation of the requirements for own funds appears.","methods that reflect a particularly high or low level of diversity, and also where there is a significant and systematic underestimation of the own funds requirements.",dgt,0.8629111051559448,0.8967188000679016,0.03380769491195679
21,todas esas aves y aves centinela se matarán y destruirán;,all those birds and sentinel birds are killed and destroyed;,all those birds and sentinel birds will be killed and destroyed;,all those birds and sentinels shall be killed and destroyed;,dgt,0.9307012557983398,0.8771199584007263,-0.053581297397613525
22,Mueva ~a al as de corazones.,Move ~a onto the ace of hearts.,Move ~to the ace of hearts.,Move ~a onto the ace of hearts.,gnome,0.8236087560653687,0.9273856282234192,0.10377687215805054
23,d) impresión de los trabajos urgentes o de escasa tirada;,(d) printing urgent documents or small print runs;,d) printing of urgent or low-circulation works;,(d) printing of urgent or low-run work;,jrc_acquis,0.7907260060310364,0.8814356923103333,0.09070968627929688
24,"El color de las luces de cola se ajustará a la especificación a la que se refiere el apéndice J-1, índice 40, cláusula 5.5.3, cuadro 7 (valores).","The colour of tail lamps shall be in accordance with the specification referenced in Appendix J-1, index 40, clause 5.5.3, Table 7.","The color of the tail lights will be adjusted to the specification referred to in appendix J-1, index 40, clause 5.5.3, table 7 (values).","The colour of the tail lights shall be in accordance with the specification referred to in Appendix J-1, index 40, clause 5.5.3, Table 7 (values).",dgt,0.8547775745391846,0.8854135274887085,0.030635952949523926
25,"Cada oferta técnica y financiera deberá introducirse, dentro de un paquete o de un sobre exterior, en un único sobre sellado con los siguientes datos:","Each technical and financial bid must be placed in a single sealed envelope, itself placed in a package or outer envelope. The inner envelope shall bear:","Each technical and financial offer shall be introduced, within a package or an envelope, in a single sealed envelope with the following data:","Each technical and financial offer shall be introduced, in a single sealed envelope, with the following details:",dgt,0.7803447246551514,0.7497503161430359,-0.03059440851211548
26,"Reglamento modificado en último lugar por el Reglamento (CE) no 394/2007 de la Comisión (DO L 98 de 13.4.2007, p. 3).","Regulation last amended by Commission Regulation (EC) No 394/2007 (OJ L 98, 13.4.2007, p. 3).","Modified by lastly by Regulation (EC) No 394/2007 of the Commission (OJ L 98 of 13.4.2007, p. 3).","Regulation as last amended by Commission Regulation (EC) No 394/2007 (OJ L 98, 13.4.2007, p. 3).",dgt,0.8784260153770447,0.944274365901947,0.06584835052490234
27,La institución expedidora cumplimentará la parte A y enviará dos ejemplares a la institución destinataria.,The sending institution should complete part A and send two copies of the form to the institution to which it is addressed.,The issuing institution will complete part A and send two copies to the addressee institution.,The issuing institution shall complete Part A and send two copies to the receiving institution.l complete Part H and send one copy to the issuing institution.,dgt,0.8074532747268677,0.6908476948738098,-0.11660557985305786
28,"una tarjeta de circuito impreso con EEPROM, microcontrolador, receptor LVDS y otros componentes activos y pasivos,","a printed circuit board with EEPROM, microcontroller, LVDS receiver and other active and passive components,","a printed circuit board with EEPROM, microcontroller, LVDS receiver and other active and passive components,,","an EEPROM card with printed circuit board, microcontroller, LVDS receiver and other active and passive components, and",dgt,0.926773726940155,0.9082216024398804,-0.018552124500274658
29,"Los procedimientos para la evaluación de la conformidad, la idoneidad para el uso y la verificación CE establecidos en el capítulo 6 de la ETI que figura en el anexo se basarán en los módulos definidos en la Decisión 2010/713/UE.","The procedures for assessment of conformity, suitability for use and EC verification set out in Chapter 6 of the TSI in Annex shall be based on the modules defined in Decision 2010/713/EU.","The procedures for conformity assessment, suitability for use and CE verification established in Chapter 6 of the ETI set out in the Annex shall be based on the modules defined in Decision 2010/713/UE.","The procedures for conformity assessment, suitability for use and CE marking set out in Chapter 6 of the ETI as set out in the Annex shall be based on the modules defined in Decision 2010/713/EU.",dgt,0.9096589684486389,0.8953716158866882,-0.014287352561950684
30,"El tipo de interés que se utiliza es un tipo de interés simple, aplicado a los días reales de la operación y considerando un año de 360 días (actual/360).",The interest rate applied is a simple interest rate based on the day-count convention “actual/360”.,"The interest rate used is a simple interest rate, applied to the actual days of the operation and considering a year of 360 days (actual/360).","The interest rate used is a simple interest rate, applied to the actual days of the transaction and considering a year of 360 days (actual/360).",dgt,0.8179354071617126,0.8373556137084961,0.019420206546783447
31,"En este caso, el negocio de servicio deberá separarse antes del 31 de diciembre de 2014 para pasar a una filial del SPM-Bank, que recibirá una licencia bancaria limitada solo en cuanto sea necesario para dicho servicio y que deberá haberse vendido completamente antes de diciembre de 2016.","Where this is the case, the servicing business must be hived off by 31 December 2014 to a subsidiary of the SPM bank, which will receive a substantive banking licence only to the extent necessary for servicing and which must be completely sold by 31 December 2016.","In this case, the service business must be separated before December 31, 2014 to be transferred to a subsidiary of SPM-Bank, which will receive a limited banking license only to the extent necessary for this service and which must have been fully sold before December 2016.","In this case, the service business must be separated by 31 December 2014 to be transferred to a subsidiary of SPM-Bank, which will receive a limited banking licence only to the extent necessary for this service and must be fully sold by December 2016.",dgt,0.8233293294906616,0.8325496315956116,0.009220302104949951
32,Denominación de la subpartida,Wording of the sub-item,Subpart name,Subheading description,dgt,0.6984007954597473,0.6931458115577698,-0.005254983901977539
33,"También se ha creado un método de conveniencia que devuelve una lista de las acciones soportadas por el elemento accesible actualmente seleccionado; si no soporta la acción de la interfaz, entonces devuelve una lista vacía:","We also created a convenience method that returns a list of supported actions of the currently selected accessible item - if it does not support the Action interface, it returns an empty list:","A convenience method has also been created that returns a list of the actions supported by the currently selected accessible element; if it does not support the interface action, then it returns an empty list:","A convenience method has also been created that returns a list of the actions supported by the currently selected accessible element; if it does not support the interface action, then returns an empty list:",gnome,0.8871795535087585,0.8842664957046509,-0.002913057804107666
34,"(2) En la década de los sesenta, debido a las crecientes amenazas de introducción de cepas exóticas de fiebre aftosa en Europa, se solicitó a los países miembros de la EUFMD que crearan un fondo fiduciario para sufragar las medidas de emergencia que debían llevarse a cabo en los Balcanes, principal vía de entrada de la enfermedad.","(2) In the 1960s, due to increased threats from introduction of exotic strains of FMD into Europe, the member countries of the EUFMD were called ot establish a trust fund aimed at emergency measures to be carried out in the Balkans, the main entrance route of the disease.","(2) In the sixties, due to the increasing threats of introduction of exotic strains of foot-and-mouth disease in Europe, the EUFMD member countries were requested to set up a trust fund to cover the emergency measures to be taken in the Balkans, the main entry route of the disease.","(2) In the 1960s, because of the increasing threat of exotic strains of foot-and-mouth disease being introduced into Europe, the Member States of the EUFMD were asked to set up a trust fund to cover the emergency measures which had to be taken in the Balkans, the main entry route for the disease.",jrc_acquis,0.8475794196128845,0.8403987884521484,-0.007180631160736084
35,"Israel se compromete a no presentar ninguna reclamación, solicitud o reenvío ni modificar o derogar ninguna concesión en virtud de los artículos XXIV.6 y XXVIII del GATT de 1994 en relación con esta ampliación de la Unión.","Israel undertakes that it shall neither make any claim, request or referral nor modify or withdraw any concession pursuant to GATT 1994 Articles XXIV.6 and XXVIII in relation to this enlargement of the Union.","Israel undertakes not to present any claim, application or re-exportation, nor to modify or revoke any concession under Articles XXIV.6 and XXVIII of the GATT 1994 in relation to this enlargement of the Union.","Israel undertakes not to present any claim, request or referral, nor to modify or withdraw any concession under Articles XXIV.6 and XXVIII of the GATT 1994 in respect of this enlargement of the Union.",dgt,0.8318695425987244,0.8828940391540527,0.05102449655532837
36,"- en el caso de los productos lácteos elaborados con leche cruda y cuyo procedimiento de elaboración no incluye ningún tratamiento término, la mención «a base de leche cruda»,","- for products manufactured from raw milk and for which the method of manufacture did not include any heat treatment, the words 'from raw milk',","- in the case of dairy products made from raw milk and whose manufacturing process does not include any heat treatment, the mention «made from raw milk»,,","- in the case of dairy products made from raw milk and whose manufacturing process does not include any heat treatment, the mention ‘made from raw milk’,",jrc_acquis,0.8487511277198792,0.8512651324272156,0.0025140047073364258
37,"FTDO (5,6-(3′,4′-furazano)- 1,2,3,4-tetrazina-1,3-dióxido);","FTDO (5,6-(3′,4′-furazano)- 1,2,3,4-tetrazine-1,3-dioxide);","FTDO (5,6-(3′,4′-furazano)- 1,2,3,4-tetrazine-1,3-dioxide);","FTDO (5,6-(3′,4′-furazano)- 1,2,3,4-tetrazine-1,3-dioxide);",dgt,0.9739111065864563,0.9739111065864563,0.0
38,La Comisión expresó también dudas sobre si es aceptable que no se apliquen medidas compensatorias adicionales a las ya adoptadas en el marco del plan de reestructuración.,The Commission doubted whether the absence of compensatory measures additional to those already taken as part of the restructuring plan was acceptable.,The Commission also expressed doubts as to whether it is acceptable that no additional compensatory measures be applied in addition to those already adopted in the framework of the restructuring plan. ,The Commission also expressed doubts as to whether it is acceptable that no additional compensatory measures are applied in addition to those already adopted in the framework of the restructuring plan.,dgt,0.8923698663711548,0.8923353552818298,-3.451108932495117e-05
39,"Las partes se someterán al dictamen del perito, respetando la legislación veterinaria comunitaria.","The parties shall abide by the expert's opinion, with due regard for Community veterinary legislation.","The parties will be subject to the expert's opinion, respecting the Community veterinary legislation.","The parties shall abide by the expert’s opinion, in accordance with the Community veterinary legislation.",jrc_acquis,0.8827850222587585,0.9104254245758057,0.02764040231704712
40,"Puede querer evitar el diálogo Preferencias usando arrastrar y soltar para mover las solapas de los complementos. Arrastrar una solapa de un complemento a la parte inferior o derecha del área de los complementos en la ventana principal, moverá el complemento. Arrastrar una solapa al escritorio creará una nueva ventana de complemento y soltará el complemento en ella.",You may bypass the Preferences dialog by using drag and drop to move plugin tabs. Dragging a plugin tab to the bottom or right plugin area in the main window will move the plugin. Dragging a tab to the desktop will create a new plugin window and drop the plugin in it.,"You may want to avoid the dialog Preferences using drag and drop to move the tabs of the extensions. Dragging a tab of an extension to the bottom or right of the extensions area in the main window, will move the extension. Dragging a tab to the desktop will create a new extension window and drop the extension in it.",You may want to avoid the Preferences dialog by dragging and dropping to move the tabs of the plugins. Dragging a plugin tab to the bottom or right of the plugin area in the main window will move the plugin. Dragging a tab to the desktop will create a new plugin window and dropping the plugin will place it in it. ,gnome,0.7760075926780701,0.8611298203468323,0.08512222766876221
41,1 — Sin información de subgrupo,1 — No sub–group information,1 — No subgroup information available,1 — No subgroup information available,dgt,0.9723265767097473,0.9723265767097473,0.0
42,No se pudo cargar «%s»: %s,Could not load `%s': %s,Failed to load «%s»: %s,Failed to load ‘%s’: %s,gnome,0.9010997414588928,0.905792772769928,0.004693031311035156
43,Osmosis,Osmosis,Osmosis,Osmosis,gnome,0.9895245432853699,0.9895245432853699,0.0
44,Quitar los sietes,Remove the sevens,Remove the seven,Remove the seven,gnome,0.8298340439796448,0.8298340439796448,0.0
45,90 % de las cantidades de las cuotas readquiridas definitivamente,90 % of the quantities irrevocably bought back under the quotas,90% of the amounts of the quotas recovered definitively,90 % of the amounts of the quotas reacquired definitively,dgt,0.7798858284950256,0.7902421355247498,0.010356307029724121
46,Se aplicarán las disposiciones siguientes cuando se permita la comercialización de un medicamento sólo una vez que las autoridades competentes del Estado miembro respectivo hayan aprobado el precio del producto:,The following provisions shall apply if the marketing of a medicinal product is permitted only after the competent authorities of the Member State concerned have approved the price of the product:,The following provisions shall apply when the marketing of a medicinal product is permitted only once the competent authorities of the Member State concerned have approved the price of the product:,The following provisions shall apply where the marketing of a medicinal product is permitted only after the competent authorities of the Member State concerned have approved the price of the product:,jrc_acquis,0.9238306879997253,0.9320209622383118,0.008190274238586426
47,Mueva ~a a la jota de diamantes.,Move ~a onto the jack of diamonds.,Move ~to the diamond Jota.,Move ~a onto the jack of diamonds.,gnome,0.6992625594139099,0.9252220392227173,0.22595947980880737
48,Quitar la la carta desconocida.,Remove the unknown card.,Take out the unknown letter.,Remove the unknown card.,gnome,0.6810382008552551,0.9628700017929077,0.2818318009376526
49,No se puede iniciar el juego «%s»,Cannot start the game “%s”,The game «%s» cannot be started,Cannot start game ‘%s’.,gnome,0.8796335458755493,0.9383876919746399,0.058754146099090576
